Country,Year,GDP_per_Capita,Water_Access_Percent,WHO_Region
Afghanistan,2017,519.884773089339,57.32,Eastern Mediterranean
Albania,2017,4531.02080555986,89.88,Europe
Algeria,2017,4111.29411013269,88.69,Africa
Andorra,2017,38962.8803536703,100.0,Europe
Angola,2017,4095.81294155857,27.44,Africa
Antigua and Barbuda,2017,15383.4151884998,96.74,Americas
Argentina,2017,14613.0418246696,99.64,Americas
Armenia,2017,3914.5012684128,100.0,Europe
Australia,2017,54027.9668184568,100.0,Western Pacific
Austria,2017,47426.5119597773,100.0,Europe
Azerbaijan,2017,4147.08971569171,81.57,Europe
Bahamas,2017,32718.6381008013,98.89,Americas
Bahrain,2017,23742.9850166355,100.0,Eastern Mediterranean
Bangladesh,2017,1563.91369862485,96.75,South-East Asia
Barbados,2017,17391.4258663397,98.49,Americas
Belarus,2017,5761.74712023007,95.98,Europe
Belgium,2017,44192.6230270333,100.0,Europe
Belize,2017,4887.5772083381,97.21,Americas
Benin,2017,1136.59284704681,58.22,Africa
Bhutan,2017,3286.57470287488,96.73,South-East Asia
Bosnia and Herzegovina,2017,5394.59122017677,94.85,Europe
Botswana,2017,7893.23253363666,75.53,Africa
Brazil,2017,9925.38623770041,89.74,Americas
Bulgaria,2017,8334.08172775332,98.05,Europe
Burkina Faso,2017,734.994429826895,34.99,Africa
Burundi,2017,292.997630684415,56.62,Africa
Cambodia,2017,1385.2599796333,72.9,Western Pacific
Cameroon,2017,1425.10781805333,39.01,Africa
Canada,2017,45148.5527061655,98.88,Americas
Cape Verde,2017,3292.64575457372,75.78,Unknown
Chad,2017,665.94835269506,29.47,Africa
Chile,2017,14999.3700885512,100.0,Americas
China,2017,8879.43866711346,86.15,Western Pacific
Colombia,2017,6376.70671552601,86.45,Americas
Comoros,2017,1323.81158996501,76.91,Africa
Congo,2017,2191.22043789319,45.72,Africa
Costa Rica,2017,11814.6265687665,99.53,Americas
Cote d'Ivoire,2017,2111.02707557541,57.83,Unknown
Croatia,2017,13451.6249479152,99.57,Europe
Cuba,2017,8541.2106734664,90.31,Americas
Cyprus,2017,26338.6943443136,99.55,Europe
Czechia,2017,20636.199952435,99.82,Europe
Democratic Republic of Congo,2017,467.07423746489,22.83,Unknown
Denmark,2017,57610.0981801136,100.0,Europe
Djibouti,2017,2914.38385631251,47.06,Eastern Mediterranean
Dominican Republic,2017,7609.33879952227,90.28,Americas
Ecuador,2017,6213.50127649921,100.0,Americas
El Salvador,2017,3910.25719295906,92.22,Americas
Equatorial Guinea,2017,9667.91225173046,30.78,Africa
Estonia,2017,20458.4607286705,99.19,Europe
Eswatini,2017,3914.61325245175,60.42,Africa
Ethiopia,2017,768.522307579386,31.07,Africa
Fiji,2017,6101.03083866498,88.7,Western Pacific
Finland,2017,46336.6632530127,100.0,Europe
France,2017,38812.1610341682,100.0,Europe
Gabon,2017,7230.39639268426,55.05,Africa
Gambia,2017,679.756913965828,63.37,Africa
Georgia,2017,4357.00093554628,100.0,Europe
Germany,2017,44552.8193719078,100.0,Europe
Ghana,2017,2025.93242386751,67.54,Africa
Greece,2017,18930.2186276597,100.0,Europe
Grenada,2017,10152.8328118872,95.63,Americas
Guatemala,2017,4451.45098144235,90.36,Americas
Guinea,2017,855.573639877367,48.72,Africa
Guinea-Bissau,2017,738.549944890782,53.48,Africa
Guyana,2017,6124.92996724861,100.0,Americas
Haiti,2017,1294.23974604323,42.64,Americas
Honduras,2017,2453.72789597457,88.87,Americas
Hungary,2017,14605.8543453283,100.0,Europe
Iceland,2017,71310.9392562342,100.0,Europe
India,2017,1981.6510498992,91.0,South-East Asia
Indonesia,2017,3837.65173121117,81.98,South-East Asia
Iran,2017,5520.31047120905,89.01,Unknown
Iraq,2017,5205.28825476591,91.06,Eastern Mediterranean
Ireland,2017,69822.3470849141,96.98,Europe
Israel,2017,40541.8620938968,100.0,Europe
Italy,2017,32406.7203150134,99.38,Europe
Jamaica,2017,5069.18383810726,84.61,Americas
Japan,2017,38386.5111457057,99.01,Western Pacific
Jordan,2017,4234.40313273963,97.7,Eastern Mediterranean
Kazakhstan,2017,9247.58133129626,92.31,Europe
Kenya,2017,1572.33549593781,49.61,Africa
Kiribati,2017,1640.50010436018,71.62,Western Pacific
Kuwait,2017,29759.4364865575,100.0,Eastern Mediterranean
Laos,2017,2423.8462031921,75.58,Unknown
Latvia,2017,15682.2214493267,98.18,Europe
Lebanon,2017,7801.17865807555,92.6,Eastern Mediterranean
Lesotho,2017,1150.07917350089,59.32,Africa
Liberia,2017,698.70176435511,61.96,Africa
Libya,2017,5756.69844996569,98.53,Eastern Mediterranean
Lithuania,2017,16885.4073948373,92.76,Europe
Luxembourg,2017,107627.151006695,100.0,Europe
Madagascar,2017,515.29272487784,36.33,Africa
Malawi,2017,356.717573153369,65.42,Africa
Malaysia,2017,10259.1817806895,89.34,Western Pacific
Maldives,2017,9577.62519371477,98.3,South-East Asia
Mali,2017,830.018367429228,68.35,Africa
Malta,2017,28091.8616473935,100.0,Europe
Marshall Islands,2017,3666.69537359193,86.7,Western Pacific
Mauritania,2017,1578.11417355949,49.91,Africa
Mauritius,2017,10484.9083620411,99.83,Africa
Mexico,2017,9287.84973619382,100.0,Americas
Micronesia (country),2017,3289.70114571277,78.57,Unknown
Moldova,2017,3509.69345025814,83.16,Unknown
Monaco,2017,167517.059727856,100.0,Europe
Mongolia,2017,3669.4175404033,55.87,Western Pacific
Montenegro,2017,7784.08791153906,95.91,Europe
Morocco,2017,3036.32525487301,70.73,Eastern Mediterranean
Mozambique,2017,461.415094120589,39.96,Africa
Myanmar,2017,1291.54241301307,76.91,South-East Asia
Namibia,2017,5303.30917087143,69.22,Africa
Nauru,2017,8510.86840824456,99.48,Western Pacific
Nepal,2017,911.444266521259,88.73,South-East Asia
Netherlands,2017,48675.2223350213,100.0,Europe
New Zealand,2017,42849.426324701,100.0,Western Pacific
Nicaragua,2017,2159.157867515,59.11,Americas
Niger,2017,517.975030051999,43.62,Africa
Nigeria,2017,1968.56473841262,55.59,Africa
Norway,2017,75496.7540581998,100.0,Europe
Oman,2017,15130.5207386726,77.9,Eastern Mediterranean
Pakistan,2017,1464.99330546855,89.88,Eastern Mediterranean
Palau,2017,16066.1949685535,100.0,Western Pacific
Panama,2017,15150.345612161,92.86,Americas
Papua New Guinea,2017,2695.25188280292,34.63,Western Pacific
Paraguay,2017,5680.58076826353,99.16,Americas
Peru,2017,6710.50802896038,75.58,Americas
Philippines,2017,3123.23422944462,89.96,Western Pacific
Poland,2017,13864.6817579973,99.54,Europe
Portugal,2017,21490.429863104,100.0,Europe
Qatar,2017,59124.9323657393,99.57,Eastern Mediterranean
Romania,2017,10807.7953907179,100.0,Europe
Russia,2017,10720.3325853448,92.62,Unknown
Rwanda,2017,772.318471775428,52.64,Africa
Samoa,2017,4259.7650014189,100.0,Western Pacific
San Marino,2017,45399.0290605549,100.0,Europe
Sao Tome and Principe,2017,1813.78323514196,76.95,Africa
Saudi Arabia,2017,20803.7459178785,100.0,Eastern Mediterranean
Senegal,2017,1361.69958778497,70.46,Africa
Serbia,2017,6292.54362926707,83.27,Europe
Seychelles,2017,15906.0839118192,96.25,Africa
Sierra Leone,2017,499.38070781976,50.14,Africa
Singapore,2017,60913.745333494,100.0,Western Pacific
Slovakia,2017,17556.6008176369,100.0,Europe
Slovenia,2017,23512.8172674713,99.4,Europe
Solomon Islands,2017,2332.8148736562,60.6,Western Pacific
South Africa,2017,6132.4798409721,80.68,Africa
South Korea,2017,31616.8434004683,99.79,Unknown
Spain,2017,28170.1678643302,100.0,Europe
Sri Lanka,2017,4077.04372120747,87.72,South-East Asia
Sudan,2017,1111.86844893858,53.2,Eastern Mediterranean
Suriname,2017,5637.5149461838,90.0,Americas
Sweden,2017,53791.5087298403,100.0,Europe
Switzerland,2017,80449.9945127739,100.0,Europe
Tajikistan,2017,806.041573098044,75.64,Europe
Tanzania,2017,1004.84112066441,42.5,Unknown
Thailand,2017,6592.91490169864,100.0,South-East Asia
Togo,2017,626.091527901405,48.39,Africa
Tonga,2017,4513.60953145965,99.77,Western Pacific
Trinidad and Tobago,2017,16238.1931916674,98.18,Americas
Tunisia,2017,3481.22873876516,88.71,Eastern Mediterranean
Turkey,2017,10591.4743712025,98.62,Europe
Turkmenistan,2017,6587.09031628698,100.0,Europe
Tuvalu,2017,3572.49357894833,98.78,Western Pacific
Uganda,2017,747.196907377979,41.25,Africa
Ukraine,2017,2640.67567655839,91.31,Europe
United Arab Emirates,2017,40644.804043392,98.05,Eastern Mediterranean
United Kingdom,2017,40361.4173832159,100.0,Unknown
United States,2017,60062.2223132211,96.97,Unknown
Uruguay,2017,17322.1473894404,95.3,Americas
Uzbekistan,2017,1826.56691924216,96.07,Europe
Vanuatu,2017,3082.35632289041,88.49,Western Pacific
Vietnam,2017,2365.62166567374,92.64,Unknown
Yemen,2017,960.528533738514,54.7,Eastern Mediterranean
Zambia,2017,1534.86675111219,41.95,Africa
Zimbabwe,2017,1548.17005572552,49.8,Africa
